Carry,Ball Speed,Spin,VLA,Apex,Land Angle
223,143,2506,12.6,78,36
200,135,2595,11.6,75,38
189,130,4320,12.3,75,43
178,125,4504,13.9,75,45
175,118,4608,13.9,75,43
166,114,4966,14.6,75,45
155,111,5904,16.7,75,46
143,106,6630,18.5,78,47
133,102,7413,20.8,81,47
123,95,7605,23.5,81,48
111,88,8465,25.2,81,48
282,171,2545,10.4,105,39
249,162,3663,9.3,96,44
236,156,4322,9.7,99,48
231,149,4587,10.2,93,49
218,145,4404,10.3,90,48
209,140,4782,10.8,93,49
199,135,5280,11.9,99,50
188,130,6204,14,96,50
176,123,7124,16.1,102,51
164,118,8078,17.8,99,51
152,112,8793,20,96,52
142,104,9316,23.7,96,52
190,131.9,4395,8.2,59,
182,129.3,5042,8.1,58,
192,128.8,4669,12.8,83,
251,151.3,2631,13.6,106,
226,145.9,2385,9.4,64,
245,148.3,2330,13.9,101,
253,152.7,2205,12.4,94,
256,153.1,2558,13.9,110,
247,152.3,2620,11.1,86,
256,153.1,2558,13.9,110,
249,150.3,2097,13.6,97,
182,123.1,4332,15.3,87,
188,128.3,6030,14,98,
192,128.2,4633,16.2,102,
184,127,6594,14.9,104,
145,110,7843,14.5,71,
165,117.8,4724,14,69,
154,113.8,7894,19.9,102,
102,81.9,5741,30.1,74,
115,89.6,3133,38.7,114,
141,108.3,9448,18.4,87,
167,118.3,5660,16.4,86,
121,97.2,8888,25.7,90,
120,97.4,9230,25.6,90,
125,98.8,8108,23.9,87,
129,100.2,6896,27.8,102,